Timestamp,Bren Hall HVAC Elec Meter hvac elec power
2023-01-01T00:00:00-08:00 Los_Angeles,0kW
2023-01-01T01:00:00-08:00 Los_Angeles,0kW
2023-01-01T02:00:00-08:00 Los_Angeles,0kW
2023-01-01T03:00:00-08:00 Los_Angeles,0kW
2023-01-01T04:00:00-08:00 Los_Angeles,0kW
2023-01-01T05:00:00-08:00 Los_Angeles,0kW
2023-01-01T06:00:00-08:00 Los_Angeles,0kW
2023-01-01T07:00:00-08:00 Los_Angeles,0kW
2023-01-01T08:00:00-08:00 Los_Angeles,0kW
2023-01-01T09:00:00-08:00 Los_Angeles,0kW
2023-01-01T10:00:00-08:00 Los_Angeles,0kW
2023-01-01T11:00:00-08:00 Los_Angeles,0kW
2023-01-01T12:00:00-08:00 Los_Angeles,0kW
2023-01-01T13:00:00-08:00 Los_Angeles,0kW
2023-01-01T14:00:00-08:00 Los_Angeles,0kW
2023-01-01T15:00:00-08:00 Los_Angeles,0kW
2023-01-01T16:00:00-08:00 Los_Angeles,0kW
2023-01-01T17:00:00-08:00 Los_Angeles,0kW
2023-01-01T18:00:00-08:00 Los_Angeles,0kW
2023-01-01T19:00:00-08:00 Los_Angeles,0kW
2023-01-01T20:00:00-08:00 Los_Angeles,0kW
2023-01-01T21:00:00-08:00 Los_Angeles,0kW
2023-01-01T22:00:00-08:00 Los_Angeles,0kW
2023-01-01T23:00:00-08:00 Los_Angeles,0kW
2023-01-02T00:00:00-08:00 Los_Angeles,0kW
2023-01-02T01:00:00-08:00 Los_Angeles,0kW
2023-01-02T02:00:00-08:00 Los_Angeles,0kW
2023-01-02T03:00:00-08:00 Los_Angeles,0kW
2023-01-02T04:00:00-08:00 Los_Angeles,0kW
2023-01-02T05:00:00-08:00 Los_Angeles,0kW
2023-01-02T06:00:00-08:00 Los_Angeles,0kW
2023-01-02T07:00:00-08:00 Los_Angeles,20.100000619888306kW
2023-01-02T08:00:00-08:00 Los_Angeles,24.51083278656006kW
2023-01-02T09:00:00-08:00 Los_Angeles,24.84583330154419kW
2023-01-02T10:00:00-08:00 Los_Angeles,24.58899974822998kW
2023-01-02T11:00:00-08:00 Los_Angeles,24.432666778564453kW
2023-01-02T12:00:00-08:00 Los_Angeles,24.443833351135254kW
2023-01-02T13:00:00-08:00 Los_Angeles,24.521999835968018kW
2023-01-02T14:00:00-08:00 Los_Angeles,24.53316640853882kW
2023-01-02T15:00:00-08:00 Los_Angeles,24.454999446868896kW
2023-01-02T16:00:00-08:00 Los_Angeles,24.454999923706055kW
2023-01-02T17:00:00-08:00 Los_Angeles,24.555500030517578kW
2023-01-02T18:00:00-08:00 Los_Angeles,24.54433298110962kW
2023-01-02T19:00:00-08:00 Los_Angeles,24.04183340072632kW
2023-01-02T20:00:00-08:00 Los_Angeles,23.30483341217041kW
2023-01-02T21:00:00-08:00 Los_Angeles,23.53933334350586kW
2023-01-02T22:00:00-08:00 Los_Angeles,16.21399974822998kW
2023-01-02T23:00:00-08:00 Los_Angeles,0kW
2023-01-03T00:00:00-08:00 Los_Angeles,0kW
2023-01-03T01:00:00-08:00 Los_Angeles,0kW
2023-01-03T02:00:00-08:00 Los_Angeles,0kW
2023-01-03T03:00:00-08:00 Los_Angeles,0kW
2023-01-03T04:00:00-08:00 Los_Angeles,0kW
2023-01-03T05:00:00-08:00 Los_Angeles,0kW
2023-01-03T06:00:00-08:00 Los_Angeles,0kW
2023-01-03T07:00:00-08:00 Los_Angeles,20.021833419799805kW
2023-01-03T08:00:00-08:00 Los_Angeles,24.443833351135254kW
2023-01-03T09:00:00-08:00 Los_Angeles,24.57783317565918kW
2023-01-03T10:00:00-08:00 Los_Angeles,24.533166885375977kW
2023-01-03T11:00:00-08:00 Los_Angeles,24.34333324432373kW
2023-01-03T12:00:00-08:00 Los_Angeles,23.103833198547363kW
2023-01-03T13:00:00-08:00 Los_Angeles,22.255166053771973kW
2023-01-03T14:00:00-08:00 Los_Angeles,21.819666862487793kW
2023-01-03T15:00:00-08:00 Los_Angeles,21.808499813079834kW
2023-01-03T16:00:00-08:00 Los_Angeles,21.96483278274536kW
2023-01-03T17:00:00-08:00 Los_Angeles,22.277499198913574kW
2023-01-03T18:00:00-08:00 Los_Angeles,22.154666423797607kW
2023-01-03T19:00:00-08:00 Los_Angeles,21.819666385650635kW
2023-01-03T20:00:00-08:00 Los_Angeles,23.427666187286377kW
2023-01-03T21:00:00-08:00 Los_Angeles,23.628665924072266kW
2023-01-03T22:00:00-08:00 Los_Angeles,13.790833115577698kW
2023-01-03T23:00:00-08:00 Los_Angeles,0kW
2023-01-04T00:00:00-08:00 Los_Angeles,0kW
2023-01-04T01:00:00-08:00 Los_Angeles,0kW
2023-01-04T02:00:00-08:00 Los_Angeles,0kW
2023-01-04T03:00:00-08:00 Los_Angeles,0kW
2023-01-04T04:00:00-08:00 Los_Angeles,0kW
2023-01-04T05:00:00-08:00 Los_Angeles,0kW
2023-01-04T06:00:00-08:00 Los_Angeles,0kW
2023-01-04T07:00:00-08:00 Los_Angeles,19.474666833877563kW
2023-01-04T08:00:00-08:00 Los_Angeles,23.952499389648438kW
2023-01-04T09:00:00-08:00 Los_Angeles,23.717999935150146kW
2023-01-04T10:00:00-08:00 Los_Angeles,23.461166381835938kW
2023-01-04T11:00:00-08:00 Los_Angeles,23.27133274078369kW
2023-01-04T12:00:00-08:00 Los_Angeles,23.371832847595215kW
2023-01-04T13:00:00-08:00 Los_Angeles,23.662166595458984kW
2023-01-04T14:00:00-08:00 Los_Angeles,23.78499937057495kW
2023-01-04T15:00:00-08:00 Los_Angeles,23.885499477386475kW
2023-01-04T16:00:00-08:00 Los_Angeles,23.628666400909424kW
2023-01-04T17:00:00-08:00 Los_Angeles,23.76266622543335kW
2023-01-04T18:00:00-08:00 Los_Angeles,23.74033260345459kW
2023-01-04T19:00:00-08:00 Los_Angeles,23.137332916259766kW
2023-01-04T20:00:00-08:00 Los_Angeles,23.29366683959961kW
2023-01-04T21:00:00-08:00 Los_Angeles,23.505833625793457kW
2023-01-04T22:00:00-08:00 Los_Angeles,15.73383378982544kW
2023-01-04T23:00:00-08:00 Los_Angeles,0kW
2023-01-05T00:00:00-08:00 Los_Angeles,0kW
2023-01-05T01:00:00-08:00 Los_Angeles,0kW
2023-01-05T02:00:00-08:00 Los_Angeles,0kW
2023-01-05T03:00:00-08:00 Los_Angeles,0kW
2023-01-05T04:00:00-08:00 Los_Angeles,0kW
2023-01-05T05:00:00-08:00 Los_Angeles,0kW
2023-01-05T06:00:00-08:00 Los_Angeles,0kW
2023-01-05T07:00:00-08:00 Los_Angeles,17.062666594982147kW
2023-01-05T08:00:00-08:00 Los_Angeles,24.365666389465332kW
